,Category,top10,top10_scores
25,governance policy,"['robert simon', 'pei dong', 'quentin sanders', 'kenneth pasiah', 'pilgyu kang', 'david kepplinger', 'gregory stein', 'nathalia peixoto', 'maryam parsa', 'jyh ming lien']","[0.06428243465332249, 0.055253210151281804, 0.04773948040526202, 0.042963587678107554, 0.04161251892882395, 0.035289233662029275, 0.030916336798746485, 0.028426762180748057, 0.027994625547792716, 0.02707651805369412]"
26,operations,"['md tanvir arafin', 'lap fai craig yu', 'omoche cheche agada', 'ilhan izmirli', 'zhi tian', 'pilgyu kang', 'gregory stein', 'hoda hassan', 'kenneth pasiah', 'david kepplinger']","[0.12061266016925193, 0.08040844011283461, 0.07131586498754522, 0.07112557782962597, 0.06994872306440697, 0.0634270329256156, 0.06283146074150059, 0.05631010902949834, 0.05613117591414453, 0.05378889437646768]"
27,privacy,"['wenying ji', 'david kepplinger', 'paulo costa', 'ilhan izmirli', 'giacomo francisci', 'jason goldberg', 'kenneth pasiah', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka']","[0.03849001794597506, 0.0337868689199743, 0.02250745683031719, 0.022338352580438516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,system security including communications,"['david lattanzi', 'sai manoj pudukotai dinakarrao', 'nora mcdonald', 'mohamed ibrahem', 'md tanvir arafin', 'pilgyu kang', 'filipe veiga', 'ilhan izmirli', 'david kepplinger', 'paulo costa']","[0.12812559502910165, 0.11866888066772074, 0.10632610931031408, 0.10475698532329943, 0.104679473669828, 0.10223234961887634, 0.10083254845412411, 0.09700387582319576, 0.09336653622777864, 0.09329556203566844]"
29,cyber physical,"['pei dong', 'maryam parsa', 'pilgyu kang', 'omoche cheche agada', 'ilhan izmirli', 'zhi tian', 'nora mcdonald', 'paulo costa', 'shima mohebbi', 'jill nelson']","[0.09404608211447976, 0.08934271123648291, 0.053121271525973054, 0.05226227046575541, 0.05212282268768986, 0.03417359362384697, 0.03264680712495945, 0.030009942440422915, 0.030009942440422915, 0.023002185311411807]"
30,hardware,"['lap fai craig yu', 'hoda hassan', 'omoche cheche agada', 'md tanvir arafin', 'zoran duric', 'david kepplinger', 'pilgyu kang', 'robert simon', 'zhi tian', 'nora mcdonald']","[0.3061862178478973, 0.21442250696755893, 0.16293763397807054, 0.15309310892394865, 0.14708710135363803, 0.1463014339951632, 0.13801311186847084, 0.10660035817780521, 0.1014692578863682, 0.08481889296799709]"
31,network systems,"['peggy brouse', 'shima mohebbi', 'md tanvir arafin', 'pilgyu kang', 'david lattanzi', 'maryam parsa', 'david binning', 'nathalia peixoto', 'jyh ming lien', 'gregory stein']","[0.13423121104280486, 0.12817879568729854, 0.11745230966245426, 0.10210147121716917, 0.07393335037451618, 0.06868828247317464, 0.06578645201737011, 0.061998740663370286, 0.059053859535749265, 0.056190417069524254]"
32,data fusion,"['pei dong', 'pilgyu kang', 'kuochu chang', 'david lattanzi', 'kenneth pasiah', 'omoche cheche agada', 'sai manoj pudukotai dinakarrao', 'maryam parsa', 'hoda hassan', 'robert simon']","[0.07940203699626315, 0.07688517444384894, 0.060115834579866315, 0.055673816185001335, 0.0529209801664888, 0.05042793173887751, 0.04511905499221046, 0.04310344827586207, 0.03981725994411212, 0.039590379123244784]"
33,data mining big data analysis,"['kenneth pasiah', 'ilhan izmirli', 'david kepplinger', 'shanjiang zhu', 'kuochu chang', 'zhi tian', 'filipe veiga', 'zoran duric', 'quentin sanders', 'david binning']","[0.29640564456571644, 0.23608194441167976, 0.2353449590209334, 0.22598896883250072, 0.22446891750926154, 0.21106881472648809, 0.19171869339805978, 0.19037490262714743, 0.19029371814210108, 0.19026059766179765]"
34,visualization,"['filipe veiga', 'zoran duric', 'david lattanzi', 'giacomo francisci', 'david kepplinger', 'ilhan izmirli', 'jason goldberg', 'kenneth pasiah', 'saad karamat', 'ana gonzalez hernandez']","[0.0782061887005775, 0.06933752452815364, 0.052999894000317994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,nanomaterials devices,"['md tanvir arafin', 'lap fai craig yu', 'sai manoj pudukotai dinakarrao', 'pilgyu kang', 'peggy brouse', 'gregory stein', 'david binning', 'david kepplinger', 'shima mohebbi', 'ilhan izmirli']","[0.29704426289300234, 0.14852213144650117, 0.11785948221436582, 0.08368274087557231, 0.07921180343813394, 0.07460727303463552, 0.06932419423397525, 0.05677329558036595, 0.03782009224993602, 0.0375359402740605]"
36,sensors small integrated systems,"['david lattanzi', 'ilhan izmirli', 'kenneth pasiah', 'zoran duric', 'shanjiang zhu', 'wenying ji', 'david kepplinger', 'david binning', 'quentin sanders', 'filipe veiga']","[0.23318763657649022, 0.19775482609205722, 0.18207579441354688, 0.1743254534561636, 0.1728395061728395, 0.17037037037037037, 0.16905943483885524, 0.1651467856927863, 0.15833394419077781, 0.14132254514460682]"
37,transmission,"['zhi tian', 'jill nelson', 'gregory stein', 'sai manoj pudukotai dinakarrao', 'pei dong', 'david kepplinger', 'maryam parsa', 'paulo costa', 'shima mohebbi', 'shanjiang zhu']","[0.11391779043355335, 0.09759000729485333, 0.05581455721859477, 0.04251151509488519, 0.024937733402690825, 0.023890924128374832, 0.018952451089472588, 0.01591517535198076, 0.01591517535198076, 0.01512030705421715]"
38,spectrum analysis,"['david kepplinger', 'shanjiang zhu', 'zhi tian', 'ilhan izmirli', 'kenneth pasiah', 'peggy brouse', 'filipe veiga', 'quentin sanders', 'shima mohebbi', 'david binning']","[0.17156849040980784, 0.17144816662454657, 0.1683132489078658, 0.167164923881917, 0.15391121883271508, 0.1511857892036909, 0.1450609107639224, 0.13030110934052228, 0.12632278815997786, 0.12349309560582473]"
39,signal processing,"['zhi tian', 'pei dong', 'jill nelson', 'shima mohebbi', 'jyh ming lien', 'gregory stein', 'paulo costa', 'david lattanzi', 'david binning', 'omoche cheche agada']","[0.052733690052530466, 0.04617570965396101, 0.04517539514526256, 0.036836473080671193, 0.03394221166510653, 0.03229639933305011, 0.029469178464536953, 0.028329634983503674, 0.021606790785072147, 0.020528212319963927]"
40,accessible ubiquitous computing,"['gregory stein', 'lap fai craig yu', 'david lattanzi', 'ilhan izmirli', 'peggy brouse', 'shima mohebbi', 'filipe veiga', 'hoda hassan', 'nathalia peixoto', 'omoche cheche agada']","[0.14501047335684955, 0.14433756729740646, 0.14133305066751467, 0.1367939137911457, 0.1347150628109127, 0.11945220005766044, 0.11730928305086626, 0.1137147065368355, 0.11111111111111112, 0.10241271635234249]"
41,collaborative social computing,"['lap fai craig yu', 'zhi tian', 'david lattanzi', 'shima mohebbi', 'zoran duric', 'omoche cheche agada', 'ilhan izmirli', 'nathalia peixoto', 'jill nelson', 'gregory stein']","[0.12751534261266767, 0.08319588753083597, 0.08194002846764309, 0.0791477324721919, 0.07657048647896111, 0.06785755533755743, 0.06646798689391176, 0.06625891564490793, 0.06533217188282378, 0.058717002188653486]"
42,online communities,"['lap fai craig yu', 'jyh ming lien', 'zoran duric', 'maryam parsa', 'md tanvir arafin', 'hoda hassan', 'robert simon', 'mohamed ibrahem', 'peggy brouse', 'kenneth pasiah']","[0.22360679774997896, 0.11476952126219175, 0.10741723110591492, 0.10170952554312154, 0.09316949906249124, 0.07829602926862712, 0.07784989441615228, 0.07745966692414832, 0.07453559924999299, 0.06503936072346048]"
43,world wide web,"['lap fai craig yu', 'mohamed ibrahem', 'maryam parsa', 'zoran duric', 'zhi tian', 'kuochu chang', 'kenneth pasiah', 'gregory stein', 'md tanvir arafin', 'peggy brouse']","[0.12858612496840993, 0.0801783725737273, 0.07603509402055626, 0.07412493166611012, 0.07031158673670729, 0.061179914260488896, 0.05385770740428467, 0.05167423893288018, 0.05143444998736397, 0.05143444998736396]"
44,human computer interaction,"['mohamed ibrahem', 'filipe veiga', 'lap fai craig yu', 'zhi tian', 'zoran duric', 'maryam parsa', 'jill nelson', 'omoche cheche agada', 'gregory stein', 'nathalia peixoto']","[0.07302967433402215, 0.07139215614635322, 0.05270462766947299, 0.05239849945945728, 0.050636968354183326, 0.047946330148538406, 0.046291004988627565, 0.028046877460778084, 0.026475169110682796, 0.02434322477800738]"
45,software analysis,"['david kepplinger', 'shanjiang zhu', 'ilhan izmirli', 'zhi tian', 'filipe veiga', 'zoran duric', 'peggy brouse', 'kenneth pasiah', 'hoda hassan', 'quentin sanders']","[0.21724654575812158, 0.20296583534058307, 0.19835117499716123, 0.19731140091689817, 0.17596392457629934, 0.1733438113203841, 0.17320508075688773, 0.16373263460446047, 0.16109583426051693, 0.1586085913081911]"
46,architecture,"['lap fai craig yu', 'md tanvir arafin', 'hoda hassan', 'omoche cheche agada', 'zoran duric', 'sai manoj pudukotai dinakarrao', 'gregory stein', 'wenying ji', 'nora mcdonald', 'robert simon']","[0.21821789023599242, 0.19094065395649334, 0.10028694463571924, 0.08709382882250234, 0.07862136275414389, 0.07421418507793111, 0.07307840952418697, 0.07126966450997983, 0.06800640801679171, 0.05698028822981897]"
47,construction,"['jyh ming lien', 'david lattanzi', 'nathalia peixoto', 'gregory stein', 'wenying ji', 'pei dong', 'paulo costa', 'sai manoj pudukotai dinakarrao', 'maryam parsa', 'nora mcdonald']","[0.04490132550669373, 0.03747658444979307, 0.035355339059327376, 0.034179296351233165, 0.03333333333333333, 0.030542361089076306, 0.029238044084454393, 0.02603288004377337, 0.023211917272131483, 0.021204723241999273]"
48,software resilience,"['lap fai craig yu', 'omoche cheche agada', 'zoran duric', 'jyh ming lien', 'hoda hassan', 'maryam parsa', 'robert simon', 'md tanvir arafin', 'pei dong', 'jill nelson']","[0.23145502494313788, 0.12316927391978356, 0.11118739749916517, 0.1018266349953196, 0.10130511230913847, 0.08773280079294954, 0.08058229640253801, 0.07715167498104596, 0.06926356448094152, 0.06776309271789384]"
49,software testing,"['lap fai craig yu', 'md tanvir arafin', 'gregory stein', 'david kepplinger', 'pilgyu kang', 'hoda hassan', 'omoche cheche agada', 'paulo costa', 'zoran duric', 'kenneth pasiah']","[0.13693063937629155, 0.11410886614690963, 0.10699812209025504, 0.10468478451804275, 0.09258200997725514, 0.08390607775994222, 0.07286792513358903, 0.06973680437544066, 0.0657793514480272, 0.06372529878771661]"
50,computational geometry,"['lap fai craig yu', 'md tanvir arafin', 'zoran duric', 'hoda hassan', 'sean luke', 'maryam parsa', 'filipe veiga', 'omoche cheche agada', 'robert simon', 'jyh ming lien']","[0.2738612787525831, 0.09128709291752769, 0.08770580193070293, 0.0719194952228076, 0.06324555320336758, 0.06228410989030497, 0.04946193668294979, 0.04857861675572602, 0.04767312946227961, 0.04016096644512494]"
51,combinatorial algorithms,"['david lattanzi', 'maryam parsa', 'zhi tian', 'giacomo francisci', 'david kepplinger', 'ilhan izmirli', 'jason goldberg', 'kenneth pasiah', 'saad karamat', 'ana gonzalez hernandez']","[0.04006415401075019, 0.03722187502390989, 0.027118799878642828, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
52,theory security,"['mohamed ibrahem', 'peggy brouse', 'shima mohebbi', 'filipe veiga', 'kuochu chang', 'david binning', 'maryam parsa', 'kenneth pasiah', 'md tanvir arafin', 'zoran duric']","[0.15240015240022858, 0.11731769201708264, 0.08402092381536944, 0.07945756717739365, 0.07268035598189045, 0.07187146209059804, 0.06670373459650701, 0.06398173965797621, 0.0549926681330075, 0.05283524652572602]"
53,computer graphics,"['lap fai craig yu', 'mohamed ibrahem', 'filipe veiga', 'zoran duric', 'omoche cheche agada', 'md tanvir arafin', 'zhi tian', 'maryam parsa', 'jill nelson', 'hoda hassan']","[0.18463723646899913, 0.10660035817780522, 0.10004169272643101, 0.0886968593983624, 0.06550339347073007, 0.061545745489666376, 0.06118826475725344, 0.05598925109558543, 0.05405624776173354, 0.04848811378764269]"
54,computer vision pattern recognition,"['filipe veiga', 'gregory stein', 'sai manoj pudukotai dinakarrao', 'david kepplinger', 'shanjiang zhu', 'paulo costa', 'shima mohebbi', 'david lattanzi', 'jill nelson', 'omoche cheche agada']","[0.13672901778068763, 0.1079824107100194, 0.10489280513129098, 0.09646102790437211, 0.09157370929912602, 0.09103282908180517, 0.09103282908180516, 0.08236487639830795, 0.08208863791288984, 0.08206441940287378]"
55,virtual reality,"['filipe veiga', 'gregory stein', 'david binning', 'david lattanzi', 'sara lynn gopalkrishna', 'hoda hassan', 'quentin sanders', 'wenying ji', 'david kepplinger', 'nathalia peixoto']","[0.08567058737562386, 0.05295033822136559, 0.04428074427700476, 0.03870564998580917, 0.03042903097250923, 0.02768182661791332, 0.027254432399565206, 0.017213259316477405, 0.015109947130387484, 0.01217161238900369]"
56,analyzing healthcare records,"['david lattanzi', 'david kepplinger', 'david binning', 'ilhan izmirli', 'zoran duric', 'kenneth pasiah', 'sean luke', 'quentin sanders', 'shanjiang zhu', 'zhi tian']","[0.1702726545456883, 0.15640281177246362, 0.15278308283803524, 0.14993939465712613, 0.14413916504926377, 0.13329102543655721, 0.1322875655532295, 0.11284407083018609, 0.10888420966802474, 0.10508534952974095]"
57,analyzing human movement,"['david kepplinger', 'gregory stein', 'david lattanzi', 'ilhan izmirli', 'zoran duric', 'david binning', 'pilgyu kang', 'shanjiang zhu', 'zhi tian', 'sean luke']","[0.11289541597000909, 0.10064107068385128, 0.09132409512816869, 0.08249833742270785, 0.06969401800668362, 0.06965217230011513, 0.06305898774321407, 0.060168661637547804, 0.059240192577479964, 0.057436652689419054]"
58,collecting analyzing data wearable devices,"['md tanvir arafin', 'sai manoj pudukotai dinakarrao', 'lap fai craig yu', 'david kepplinger', 'david binning', 'david lattanzi', 'kenneth pasiah', 'pilgyu kang', 'ilhan izmirli', 'filipe veiga']","[0.19518001458970666, 0.12446097204675335, 0.12198750911856666, 0.11890728845841322, 0.1161553420728616, 0.09854478901196409, 0.09367216372385, 0.09072647087265548, 0.08786508827878003, 0.0859251810643126]"
59,diagnostic medicine,"['omoche cheche agada', 'ilhan izmirli', 'robert simon', 'mohamed ibrahem', 'gregory stein', 'zoran duric', 'nathalia peixoto', 'sara lynn gopalkrishna', 'david kepplinger', 'nora mcdonald']","[0.07011719365194521, 0.059940089850262016, 0.05504818825631802, 0.05477225575051661, 0.05295033822136559, 0.050636968354183326, 0.04868644955601476, 0.04564354645876384, 0.04532984139116245, 0.043800287987840275]"
60,modeling health outcomes statistical analysis including longitudinal,"['david kepplinger', 'shanjiang zhu', 'ilhan izmirli', 'david lattanzi', 'filipe veiga', 'shima mohebbi', 'kenneth pasiah', 'quentin sanders', 'zhi tian', 'david binning']","[0.21379818788894508, 0.20078340700358757, 0.20063107356034704, 0.19433294466783266, 0.18899828935972898, 0.17458398469965758, 0.16793090728662616, 0.1617185636867831, 0.16143660075018945, 0.154953315995435]"
61,time series,"['ilhan izmirli', 'filipe veiga', 'gregory stein', 'nathalia peixoto', 'david lattanzi', 'kenneth pasiah', 'paulo costa', 'jyh ming lien', 'pilgyu kang', 'zhi tian']","[0.0878920246624723, 0.053147539208956776, 0.0388213668386599, 0.037068123792912924, 0.03274344386358418, 0.024899534639827366, 0.02384237121039393, 0.023538282146793623, 0.01808739235678449, 0.017730820448340977]"
62,survival models,"['shima mohebbi', 'filipe veiga', 'david kepplinger', 'kenneth pasiah', 'md tanvir arafin', 'wenying ji', 'omoche cheche agada', 'david lattanzi', 'shanjiang zhu', 'gregory stein']","[0.06780312999921147, 0.061206023968483535, 0.04626457563735033, 0.0450605909059333, 0.032274861218395144, 0.03162277660168379, 0.025762701996477236, 0.02370227315699886, 0.023424278964210215, 0.021616885058355847]"
63,modeling nanoparticles,"['shima mohebbi', 'md tanvir arafin', 'david kepplinger', 'david lattanzi', 'shanjiang zhu', 'filipe veiga', 'kenneth pasiah', 'gregory stein', 'omoche cheche agada', 'hoda hassan']","[0.0764540293979072, 0.060048057676907685, 0.04590731488048887, 0.04409857740283911, 0.0435813633640409, 0.04338098821823764, 0.041918088250877526, 0.0402186690128789, 0.021303132696226166, 0.021025856676559002]"
64,bio inspired nanoarchitectures control cell behavior,"['ilhan izmirli', 'filipe veiga', 'david binning', 'david lattanzi', 'zhi tian', 'kenneth pasiah', 'david kepplinger', 'zoran duric', 'wenying ji', 'quentin sanders']","[0.14656269531618094, 0.13428057730236145, 0.13325932093055393, 0.13104171592387956, 0.11087511260502686, 0.11072200382066869, 0.1079963910063933, 0.10476665619192566, 0.10360382531810818, 0.10252501434917771]"
65,biomaterials regenerative medicine,"['omoche cheche agada', 'ilhan izmirli', 'robert simon', 'mohamed ibrahem', 'gregory stein', 'zoran duric', 'nathalia peixoto', 'sara lynn gopalkrishna', 'david kepplinger', 'nora mcdonald']","[0.0858756733215908, 0.07341131763485946, 0.0674199862463242, 0.0670820393249937, 0.06485065517506754, 0.062017367294604234, 0.05962847939999439, 0.055901699437494755, 0.0555174907648204, 0.05364417807858201]"
66,delivery nanoparticles,"['gregory stein', 'pilgyu kang', 'zhi tian', 'david kepplinger', 'paulo costa', 'sai manoj pudukotai dinakarrao', 'kuochu chang', 'md tanvir arafin', 'ilhan izmirli', 'shanjiang zhu']","[0.08244356479665729, 0.06241877839323593, 0.05353973166259676, 0.052933850493043916, 0.047016543918548113, 0.04186244621455861, 0.040670573398446486, 0.030772872744833188, 0.023331648330687904, 0.022334173672426936]"
67,ultrasound imaging devices,"['md tanvir arafin', 'david lattanzi', 'david binning', 'lap fai craig yu', 'zoran duric', 'ilhan izmirli', 'sai manoj pudukotai dinakarrao', 'david kepplinger', 'peggy brouse', 'sean luke']","[0.22427130678626517, 0.16470217296226292, 0.14494275891311212, 0.13801311186847087, 0.13259870882635919, 0.12425999950295999, 0.12321007625826008, 0.11870138823733961, 0.11041048949477668, 0.09561828874675149]"
