names,ProfileLinks,topics,citations,titles
Patrick McKnight,https://scholar.google.com//citations?hl=en&user=sH44LC4AAAAJ,"Trust, Missing Data, Program Evaluation, Measurement",11979,"Professor of Psychology, George Mason University"
Jana Kosecka,https://scholar.google.com//citations?hl=en&user=sQ6l4sMAAAAJ,"Computer Vision, Robotics, Artificial Intelligence",11861,George Mason University
Peter D. Blair,https://scholar.google.com//citations?hl=en&user=5R1M2N8AAAAJ,"energy, input-output analysis, technology assessment, regional science, electric power",11830,"Distinguished Senior Fellow, George Mason University"
Giorgio A. Ascoli,https://scholar.google.com//citations?hl=en&user=Qq5H3-QAAAAJ,"Neuroscience: computational neuroanatomy, neuroinformatics, neuronal morphology, network connectivity, cognitive simulations",11589,"University Professor, Krasnow Institute for Advanced Study, George Mason University"
"Kenneth W. Griffin, PhD, MPH",https://scholar.google.com//citations?hl=en&user=8uzvyVEAAAAJ,"adolescence, drug abuse, violence, prevention, etiology",11562,"Professor, Public Health, George Mason University"
Kevin Wright,https://scholar.google.com//citations?hl=en&user=TeR8x_cAAAAJ,"Health Communication, Computer-Mediated Communication, Interpersonal Communication, Social Support",11541,George Mason University
John Riskind,https://scholar.google.com//citations?hl=en&user=2EDdxucAAAAJ,"anxiety, cognitive behavior therapy, emotion",11400,"Professor of Psychology, George Mason University"
Jessica Lin,https://scholar.google.com//citations?hl=en&user=tRHOWkcAAAAJ,"Data Mining, Machine Learning, Information Retrieval, Databases",10794,George Mason University
Reeshad S. Dalal,https://scholar.google.com//citations?hl=en&user=QkDLr-MAAAAJ,"Counterproductive Behavior, Citizenship Behavior, Decision Making, Person-Situation Interactions, Within-Person Variability",10711,"Professor of Industrial and Organizational Psychology, George Mason University"
Faye Taxman,https://scholar.google.com//citations?hl=en&user=0GrgbR4AAAAJ,,10550,George Mason University
Paul Ammann,https://scholar.google.com//citations?hl=en&user=-j0V55IAAAAJ,Software Engineering,10483,"Associate Professor of Computer Science, George Mason University"
Claudius Mueller,https://scholar.google.com//citations?hl=en&user=IGibEgUAAAAJ,"cell-cell communication, biochemistry, cancer",10263,George Mason University
"Kinter, James",https://scholar.google.com//citations?hl=en&user=RYsZOAkAAAAJ,"geoscience, meteorology, atmospheric science",10212,"COLA, George Mason University"
