names,ProfileLinks,topics,citations,titles
Jordan Neyland,https://scholar.google.com//citations?hl=en&user=CxtHSN0AAAAJ,"Corporate Law, Finance, Bankruptcy, Securities Regulation",240,George Mason University
Ted Hsuan Yun Chen,https://scholar.google.com//citations?hl=en&user=a0wJsDYAAAAJ,"political science, environmental politics, network science, international relations",239,"Assistant Professor, George Mason University"
Tina Beveridge,https://scholar.google.com//citations?hl=en&user=bs9hgpkAAAAJ,"Music Education, Education Policy",236,"George Mason University, Assistant Professor of Music Education"
Ermo Wei,https://scholar.google.com//citations?hl=en&user=-tm9VhYAAAAJ,Reinforcement Learning,234,George Mason University
David W. Prescott,https://scholar.google.com//citations?hl=en&user=PWyvHKsAAAAJ,"Atomic Physics, NQR, Optical Magnetometers",234,"Postdoc Research Fellow, George Mason University"
Erika Olimpiew,https://scholar.google.com//citations?hl=en&user=ujc2C68AAAAJ,"Software design, software reuse, mobile, cloud",232,George Mason University
Blake Silver,https://scholar.google.com//citations?hl=en&user=fUQXnTwAAAAJ,,232,George Mason University
Heidi Lawrence,https://scholar.google.com//citations?hl=en&user=V07gCh4AAAAJ,"vaccination, medical rhetoric, professional and technical communication",230,"Assistant Professor, George Mason University"
Xuan Wang,https://scholar.google.com//citations?hl=en&user=ZA2jIPYAAAAJ,"Distributed Control, data-driven control",230,George Mason University
Yashar Alimohammadlou,https://scholar.google.com//citations?hl=en&user=jd4edbYAAAAJ,"Landslides, Slope Stability, Artificial Intelligence, Finite Element, Machine Learning",228,George Mason University
Changyang Li,https://scholar.google.com//citations?hl=en&user=Zbx-YuUAAAAJ,"Computer Graphics, Augmented Reality, Virtual Reality",228,George Mason University
Irina Hashmi,https://scholar.google.com//citations?hl=en&user=Lht1No4AAAAJ,"Computer Science: Computational Biology, Data Mining, Machine Learning, High-dimensional search, Reversible Computing",227,George Mason University
Pragyansmita Nayak,https://scholar.google.com//citations?hl=en&user=2Iwf3k0AAAAJ,"Artificial Intelligence, Machine Learning, Data Science, Bayesian Network, Astronomy",226,George Mason University
Matthew Ferreira,https://scholar.google.com//citations?hl=en&user=6gymQOoAAAAJ,"Infectious disease, epidemiology, health security, biosecurity",226,George Mason University
Forrest Hare,https://scholar.google.com//citations?hl=en&user=xWy8mLQAAAAJ,"National Security Policy Cyberspace, Operational Intelligence",224,"Adjunct Professor, George Mason University"
Frank Webb,https://scholar.google.com//citations?hl=en&user=Ka6g00gAAAAJ,,221,George Mason University
Jinghao Huang,https://scholar.google.com//citations?hl=en&user=pK8B91gAAAAJ,Batteries,221,George Mason University
Anh Phan Nguyen,https://scholar.google.com//citations?hl=en&user=GYkO9NAAAAAJ,"Multimedia, Video Streaming, Deep Learning, Machine Learning, Computer Network.",219,"PhD student, George Mason University"
Saskia Popescu,https://scholar.google.com//citations?hl=en&user=GR0Cgc0AAAAJ,"infectious disease epidemiology, infection prevention, biodefense, antibiotic resistance, global health security",219,Assistant Professor - George Mason University
Carrie L Bonilla,https://scholar.google.com//citations?hl=en&user=HRwaor0AAAAJ,"Second language acquisition, Hispanic linguistics",217,George Mason University
Michael A Hunzeker,https://scholar.google.com//citations?hl=en&user=GxkDY8YAAAAJ,"Military innovation, conventional deterrence",217,"Assistant Professor, George Mason University"
ghassan husseinali ,https://scholar.google.com//citations?hl=en&user=kht-AiQAAAAJ,,216,George Mason University
Byunghwan Son,https://scholar.google.com//citations?hl=en&user=h0o27GgAAAAJ,"political economy, methods, Asia",216,"Associate Professor, Global Affairs, George Mason University"
Jenice L View,https://scholar.google.com//citations?hl=en&user=-uMpssMAAAAJ,education,215,George mason University
T. Reid Nelson,https://scholar.google.com//citations?hl=en&user=CFvi-GUAAAAJ,,215,"Assistant Professor, George Mason University"
Michele Greet,https://scholar.google.com//citations?hl=en&user=iIZios4AAAAJ,Latin American Art History,214,George Mason University
Michael Fauntroy,https://scholar.google.com//citations?hl=en&user=EnB0GZYAAAAJ,African American Politics,214,"Associate Professor of Policy and Government, George Mason University"
Stephanie M Stehle,https://scholar.google.com//citations?hl=en&user=YKelWZcAAAAJ,"physics education, conceptual change, metacognition",214,George Mason University
Laurence Bray,https://scholar.google.com//citations?hl=en&user=Zmmju5IAAAAJ,,213,"Associate Provost for Graduate Education, George Mason University"
Jingchao Yang,https://scholar.google.com//citations?hl=en&user=NJUh-R4AAAAJ,"Geoinformatics, Machine Learning, Data Science, IoT, Spatial Analysis",212,George Mason University
Md Rezaul Hasan,https://scholar.google.com//citations?hl=en&user=s6DfN3UAAAAJ,Nanoelectronics,211,George Mason University
Kathryn Holguin,https://scholar.google.com//citations?hl=en&user=0VCu5nMAAAAJ,,211,George Mason University
Aman Ullah,https://scholar.google.com//citations?hl=en&user=Ut5QdtgAAAAJ,"Cell Signaling, Cardiac Modeling, Calcium dynamics, Computational Biology, Bioinformatics",209,George Mason University
Auzeen Shariati,https://scholar.google.com//citations?hl=en&user=ycYsEnMAAAAJ,"Environmental Criminology, Crime Prevention, School Safety, Policing, Victimization",208,"Assistant Professor, George Mason University"
John Shea,https://scholar.google.com//citations?hl=en&user=tgjRNicAAAAJ,Chemistry,208,George Mason University
Russell Cameron Thomas,https://scholar.google.com//citations?hl=en&user=2TSdGYQAAAAJ,"Computational Social Science, Systems of Innovation, Information Security, Risk, Socio-technical complex systems",207,"PhD student, Department of Computational and Data Sciences, George Mason University"
Nobuhiko Daito,https://scholar.google.com//citations?hl=en&user=kJ4wS9YAAAAJ,"Public Private Partnerships, Transportation Policy, Regional Analysis",207,"Center for Transportation Public Private Partnership Policy, George Mason University"
Ginny Seung Choi,https://scholar.google.com//citations?hl=en&user=TAxR69EAAAAJ,,207,Mercatus Center at George Mason University
Nancy Freeborne,https://scholar.google.com//citations?hl=en&user=g46yCpYAAAAJ,"cardiovascular disease, women's health, social support, social capital",207,George Mason University
Malik U Sharif,https://scholar.google.com//citations?hl=en&user=YQvD7csAAAAJ,Computer Engineering,203,George Mason University
Seyed Rizi,https://scholar.google.com//citations?hl=en&user=CmnnKygAAAAJ,"multiagent simulation, agent-based modeling, economics, conflict, security",202,GMU
Eli Dourado,https://scholar.google.com//citations?hl=en&user=PB7UCecAAAAJ,,202,George Mason University
Joseph F. Harrison,https://scholar.google.com//citations?hl=en&user=v5aQnU8AAAAJ,"Social Complexity, Agent-based modeling, Opinion Dynamics, Attitude Change",202,"George Mason University, MITRE"
Dana A. Dolan,https://scholar.google.com//citations?hl=en&user=jes8AAcAAAAJ,"Public Policy, Governance, Climate Change Adaptation, Policy Entrepreneurship, Qualitative Methods",201,George Mason University
Sarah Wittman,https://scholar.google.com//citations?hl=en&user=d5GxCGYAAAAJ,"Transitions, Individual and Organizational Boundaries, Identity, Leadership, Families and Kin",200,George Mason University - School of Business
Teresa Michals,https://scholar.google.com//citations?hl=en&user=B6GKYCUAAAAJ,"Children's Literature, Disability Studies, 18th and 19th-Century British Literature",199,"Associate Professor, George Mason University, Korea"
J JESUS HERNANDEZ PEREZ,https://scholar.google.com//citations?hl=en&user=v4YPjZwAAAAJ,"Neuroscience, hippocampal electrophysiology, learning and memory, Alzheimer disease",199,"Postdoc, George Mason University"
Lijue Wang,https://scholar.google.com//citations?hl=en&user=YNwnFlcAAAAJ,"Computational Fluid Dynamics, Ship Steady Flow Simulation, Ship Hull Form Optimization",198,George Mason University
Zaiyu Wang,https://scholar.google.com//citations?hl=en&user=nAIYsC2sytcC,Climate Dynamics,198,George Mason University
Loreto Gonzalez-Hernandez,https://scholar.google.com//citations?hl=en&user=EZNKqhIAAAAJ,"Software Testing, SBSE, Combinatorial optimization, Metaheuristics",197,George Mason University
Jessica Kordell,https://scholar.google.com//citations?hl=en&user=4ZeQjDsAAAAJ,,197,George Mason University
Randy J. Vander Molen,https://scholar.google.com//citations?hl=en&user=gGx4g_YAAAAJ,Industrial-Organizational Psychology,196,George Mason University
Mohamed I. Ibrahem,https://scholar.google.com//citations?hl=en&user=uXaXACEAAAAJ,"Cyber-Security, Privacy Preservation, Machine learning, Smart Grid Security, SDN",195,"Benha University, George Mason University"
Kuan Yao,https://scholar.google.com//citations?hl=en&user=0p1Rp1sAAAAJ,"Biology, Microbiology, Genomics",195,"George Mason University, US Food and Drug Administration"
Tiphanie Raffegeau,https://scholar.google.com//citations?hl=en&user=zmc8nPoAAAAJ,"Aging, mobility, cognition, fear of falling, depression",195,Assistant Professor at George Mason University
Kirin Emlet Furst,https://scholar.google.com//citations?hl=en&user=X075zj0AAAAJ,"water quality engineering, disinfection byproducts, drinking water, wastewater reuse, contaminant transport and fate",194,George Mason University
Samantha T. Ives,https://scholar.google.com//citations?hl=en&user=tdp8uh8AAAAJ,"reading motivation, reading engagement, autonomy support",194,George Mason University
Robert J. Posont,https://scholar.google.com//citations?hl=en&user=jgiBbxcAAAAJ,"Comparative Stress Physiology, Comparative Immunology, Eco-Immunology",194,"PhD Student, George Mason University"
MB Toth,https://scholar.google.com//citations?hl=en&user=2NU8zd8AAAAJ,"Digitization, metadata, Multispectral Imaging, data management, program management",191,University College London/George Mason University
Pouya Gholizadeh,https://scholar.google.com//citations?hl=en&user=hVrqlgEAAAAJ,"Construction Safety, Building Information Modeling",191,"PhD Student, George Mason University"
Kate T. Luong,https://scholar.google.com//citations?hl=en&user=K-JoBzUAAAAJ,"media psychology, climate change communication, environmental & health communication, science commnication",190,George Mason University
Stephanie E. Trapnell,https://scholar.google.com//citations?hl=en&user=XoTryx0AAAAJ,"sociology, democracy, development, transparency, gender",188,George Mason University
Bilal Habib,https://scholar.google.com//citations?hl=en&user=RX88D8YAAAAJ,"Hardware security, Digital Design, FPGA, Embedded Systems, Cryptography",187,George Mason University
Benjamin Schweinhart,https://scholar.google.com//citations?hl=en&user=dKWV5LwAAAAJ,"topological and geometric data analysis, stochastic topology, topology, probability, statistical mechanics",186,"Assistant Professor of Mathematics, George Mason University"
Drew Wicke,https://scholar.google.com//citations?hl=en&user=lEJ-67oAAAAJ,"Multiagent Systems, Multiagent Learning, Machine Learning, Artificial Intelligence, Multi Robotics",185,George Mason University
Janani Umamaheswar,https://scholar.google.com//citations?hl=en&user=NMUK2iEAAAAJ,"Criminology, gender, punishment, the life course, qualitative research methods",184,"Department of Criminology, Law, and Society, George Mason University"
Mohammed Elmufti,https://scholar.google.com//citations?hl=en&user=QZlM2hIAAAAJ,"Astronomy, Exoplanets, Binary Systems, Astrophysics",184,George Mason University
Mingkui Wei,https://scholar.google.com//citations?hl=en&user=RYrtR9kAAAAJ,Cybersecurity,183,George Mason University
Toki Tahmid Inan,https://scholar.google.com//citations?hl=en&user=4cQqe5cAAAAJ,"Artificial Intelligence, Numerical Optimization",182,"PhD Student, George Mason University"
Gary dela Pena,https://scholar.google.com//citations?hl=en&user=ElbOeYYAAAAJ,Numerical Analysis,182,"Term Assistant Professor of Mathematics, George Mason University"
Alireza Afshar,https://scholar.google.com//citations?hl=en&user=fFd_UPwAAAAJ,"Durability of Reinforced Concrete, Corrosion Assessment, Construction Management, Construction Safety",182,Ph.D. Student at George Mason University
Steven Patrick Jackson,https://scholar.google.com//citations?hl=en&user=CCC8R5gAAAAJ,"Volunteered Geographic Information, OpenStreetMap, Geoinformation Science",181,George Mason University
"Alexandra Patzak, PhD",https://scholar.google.com//citations?hl=en&user=3becCB4AAAAJ,"Academic Self-Handicapping, Motivation, Self-Regulated Learning, Learning Analytics, Educational Psychology",181,"Assistant Professor, George Mason University"
Jacqueline Serigos,https://scholar.google.com//citations?hl=en&user=Wi6IN7UAAAAJ,"Language Contact, Corpus Linguistics, Computational Linguistics",179,George Mason University
Mohammad Rezaeirad,https://scholar.google.com//citations?hl=en&user=Tu1D5XgAAAAJ,"Cyber Security, Measurement, Threat Intelligence, Reverse Engineering, Embedded Security",178,George Mason University
Zifu Wang,https://scholar.google.com//citations?hl=en&user=OGHF3IYAAAAJ,Geoinformation Science,178,Ph.D. Student of George Mason University
Stephen Matteo Miller,https://scholar.google.com//citations?hl=en&user=SovdfMoAAAAJ,"financial crises, financial regulation",178,"Senior Research Fellow, Mercatus Center at George Mason University"
Arwa Aldhalaan,https://scholar.google.com//citations?hl=en&user=J2V9yJcAAAAJ,"Autonomic Computing, Cloud Computing, Virtual Machine, Computer System Performance evaluation.",177,"Assistant Professor, King Saud University. Postdoctoral fellow at George Mason University."
Felício Cassalho,https://scholar.google.com//citations?hl=en&user=UxE1ChIAAAAJ,"Hydrology, Hydrodynamic and Wave Modeling, GIS and remote sensing applications in water …",175,George Mason University
RP Acosta,https://scholar.google.com//citations?hl=en&user=5ydqXE8AAAAJ,"Paleoclimate, Monsoons, Modelling",174,George Mason University
Elizabeth Blum,https://scholar.google.com//citations?hl=en&user=ezikUP8AAAAJ,"Conservation Biology, Social Cognition, Evolutionary Anthropology, Human Behavioral Ecology, Autism",173,George Mason University
Zhepeng Wang,https://scholar.google.com//citations?hl=en&user=JyPU5aEAAAAJ,"Quantum Machine Learning, On-Device AI, Embedded System",171,George Mason University
Holly Norton,https://scholar.google.com//citations?hl=en&user=-2OHTgoAAAAJ,"Meteorology, Geology, Climate, Land-Atmosphere Interactions",170,"Graduate Research Assistant, George Mason University"
Abhijitt Dhavlle,https://scholar.google.com//citations?hl=en&user=gQ7PxroAAAAJ,"Hardware security, GPU attacks, Cache-based Side-channel attacks, adversarial machine learning.",170,George Mason University
Lingquan Li,https://scholar.google.com//citations?hl=en&user=WXnLZRUAAAAJ,Computational fluid dynamics,168,George Mason University
Jason A. Smith,https://scholar.google.com//citations?hl=en&user=45FTQGIAAAAJ,"Race, Media, Media Policy, Cultural Politics",167,Center for Social Science Research - George Mason University
Nicholas Hertz,https://scholar.google.com//citations?hl=en&user=l7AbQ8wAAAAJ,"Human-Robot Interaction, Social Robotics, Human-Computer Interaction",167,George Mason University
Stefanie F. Gonçalves,https://scholar.google.com//citations?hl=en&user=7CVv_lMAAAAJ,"emotion regulation, impulse control, psychophysiology, developmental psychopathology",167,"Clinical Psychology Doctoral Student, George Mason University"
Ao Wang,https://scholar.google.com//citations?hl=en&user=ug3XvYkAAAAJ,Cloud computing,165,George Mason University
Mark Helmsing,https://scholar.google.com//citations?hl=en&user=Av5kNTQAAAAJ,"Social Studies Education, Cultural Memory, Popular History, Popular Culture, Museum Studies",162,George Mason University
Lucas Núñez,https://scholar.google.com//citations?hl=en&user=MRsalCAAAAAJ,"Electoral Behavior, Political Participation, Quantitative Methods",162,George Mason University
Niklas Hultin,https://scholar.google.com//citations?hl=en&user=HN6bHdUAAAAJ,,161,George Mason University
Yanyan Lu,https://scholar.google.com//citations?hl=en&user=ErcMElIAAAAJ,"Robotics, Computational Geometry",161,"Student of Computer Science, George Mason University"
Matthew Mitchell,https://scholar.google.com//citations?hl=en&user=HFsomGgAAAAJ,"Public Choice, rent seeking, government granted privilege",161,"Senior Research Fellow, Mercatus Center at George Mason University"
David Freelan,https://scholar.google.com//citations?hl=en&user=0LKaOMYAAAAJ,"Artificial Intelligence, Mutliagent systems",161,George Mason University
Rahul Pandey,https://scholar.google.com//citations?hl=en&user=fKMSzz0AAAAJ,"Human-AI Collaboration, Natural Language Understanding, Social Computing, Crisis Informatics",161,"PhD Candidate, Information Technology, George Mason University"
Kayvan Bijari,https://scholar.google.com//citations?hl=en&user=_tljXBUAAAAJ,"computational neuroinformatics, natural language processing, data science, machine learning",161,George Mason University
Jennifer M Loya,https://scholar.google.com//citations?hl=en&user=XB0ybtAAAAAJ,clinical psychology,161,George Mason University
Paolo Saguato,https://scholar.google.com//citations?hl=en&user=T613qhsAAAAJ,"Financial Regulation, Banking Law, Securities Regulation, Corporate Law",160,"Assistant Professor of Law at George Mason University, Antonin Scalia Law School"
Aiyoub Abbaspour,https://scholar.google.com//citations?hl=en&user=LqC_3GIAAAAJ,"Geotechnic, Geoenvironment, Geochemistry",159,George Mason university
Rick WA Smith,https://scholar.google.com//citations?hl=en&user=ebIhuQUAAAAJ,"Biocultural Anthropology, Genomics, STS, Colonialism",159,"Assistant Professor, George Mason University"
Richard T. Craig,https://scholar.google.com//citations?hl=en&user=YnUZ4cQAAAAJ,"Mass Communication/Media Studies, Media Political Economy, Media Representation, Race and Ethnicity, Gender",158,"Professor of Communication, George Mason University"
Sunil Pandey,https://scholar.google.com//citations?hl=en&user=prycNpwAAAAJ,"Microbiology, Molecular biology",158,George Mason University
Shuai Wang,https://scholar.google.com//citations?hl=en&user=lOJUEfoAAAAJ,"Wireless Communication, Cross-technology Communication, Embedded System",157,"Ph.D. student, George Mason University"
Raimi Rufai,https://scholar.google.com//citations?hl=en&user=k5NO-e8AAAAJ,"software engineering, algorithms, computational geometry, data mining",156,SAP Labs and George Mason University
Cynthia AC Lukyanenko,https://scholar.google.com//citations?hl=en&user=N5ZaQKsAAAAJ,"first language acquisition, psycholinguistics, morphosyntax",156,George Mason University
Martha Paley Francescato,https://scholar.google.com//citations?hl=en&user=aOuyCFUAAAAJ,"Latin American writers, film",156,"Professor Emerita of Spanish, George Mason University"
Eryn Campbell,https://scholar.google.com//citations?hl=en&user=ADoNACoAAAAJ,"science communication, climate change communication",156,George Mason University
Anu Kaur,https://scholar.google.com//citations?hl=en&user=dIbcU3YAAAAJ,"Nutrition, Cancer, Trauma Informed Care, Health Communication, Mind Body",156,George Mason University
Boyoung Kim,https://scholar.google.com//citations?hl=en&user=7Cv5uwgAAAAJ,"Moral Psychology, Human-Robot Interaction, Artificial Intelligence",154,George Mason University
Ran Ji,https://scholar.google.com//citations?hl=en&user=bm1nLksAAAAJ,"distributionally robust optimization, stochastic optimization, chance-constrained programming, portfolio optimization, relief op",153,George Mason University
Sanja Avramovic,https://scholar.google.com//citations?hl=en&user=8rAXsNsAAAAJ,"health informatics, big data, decision support tools",153,"Assistant Professor, Health Informatics, George Mason University"
Yunyao Li,https://scholar.google.com//citations?hl=en&user=gNw2V94AAAAJ,"Atmospheric Science, Convective Transport, Mesoscale Modeling, Air Quality, Wildfire Emission",153,"Research Scientist, George Mason University"
Xue Chen,https://scholar.google.com//citations?hl=en&user=pOhKXhYAAAAJ,"Theoretical Computer Science, Algorithms for Big Data, Learning Theory",153,George Mason University
Colin Reagle,https://scholar.google.com//citations?hl=en&user=c8jjG7oAAAAJ,,153,George Mason University
Ben Manski,https://scholar.google.com//citations?hl=en&user=S2mTs_UAAAAJ,"Social Movements, Next System Studies, Sociology of Constitutions, Democratization, Environmental Sociology",152,"George Mason University, Assistant Professor of Public Sociology, Director of Next System …"
Samuel Suhas Singapogu,https://scholar.google.com//citations?hl=en&user=AV8L1R8AAAAJ,"Semantic Web, Ontologies, Knowledge discovery, XML based systems, Systems interoperbaliity",152,George Mason University
Myeong Lee,https://scholar.google.com//citations?hl=en&user=YgUbn0gAAAAJ,"Community Informatics, Information Access, Human-Computer Interaction, Computational Social Science",151,George Mason University
Manjusha Nair,https://scholar.google.com//citations?hl=en&user=J9Ndpx8AAAAJ,"Globalization, Political Sociology, Comparative and Historical Sociology, Development",150,George Mason University
Nashema Begum,https://scholar.google.com//citations?hl=en&user=0juFmlkAAAAJ,I/O Psychology,149,"Student, George Mason University"
Lishan Yang,https://scholar.google.com//citations?hl=en&user=y_n3bHoAAAAJ,"Reliability, GPUs, Heterogenous Systems",149,George Mason University
Pratiti Diddi,https://scholar.google.com//citations?hl=en&user=JA1i7nwAAAAJ,,149,George Mason University
Rudy Clausen,https://scholar.google.com//citations?hl=en&user=iAw4NXIAAAAJ,"Computational Biology, Artificial Intelligence, Bioinformatics, Machine Learning, Software Development",147,George Mason University
Debra Lattanzi Shutika,https://scholar.google.com//citations?hl=en&user=T4GgmBAAAAAJ,"Folklore, Applalachian Studies, Belonging, Sense of Place",147,George Mason University
Blake Klocke,https://scholar.google.com//citations?hl=en&user=klQWhOwAAAAJ,Conservation Biology,147,George Mason University
Xiaoyi Yuan,https://scholar.google.com//citations?hl=en&user=-q9dCDkAAAAJ,Computational Social Science,147,George Mason University
Jessica Hurley,https://scholar.google.com//citations?hl=en&user=z5vuIpwAAAAJ,"Contemporary Literature, Sci-Fi/Speculative Fiction, Environmental Humanities",147,"Assistant Professor of English, George Mason University"
Samiul Islam,https://scholar.google.com//citations?hl=en&user=MOoctJQAAAAJ,"Data Science, Machine Learning, Image Processing",146,"PhD Student, Computational Sciences and Informatics, George Mason University"
saba neyshabouri,https://scholar.google.com//citations?hl=en&user=ryA9qj4AAAAJ,"Decision making under uncertainty, Optimization, Healthcare, Aviation",145,"PhD in Systems Engineering and Operations Research, George Mason University"
Saurabh Srivastava,https://scholar.google.com//citations?hl=en&user=LuCi6M4AAAAJ,"Information Extraction, Question-Answering, Machine Learning, Deep Learning, Natural Language Processing",145,"PhD Student, George Mason University"
Naveen Naik Sapavath,https://scholar.google.com//citations?hl=en&user=8e-ae7kAAAAJ,"Cyber security, Next Generation wireless networks, Machine Learning, O-RAN",145,Researcher at George Mason University
Claire Niehaus,https://scholar.google.com//citations?hl=en&user=GPfpQmUAAAAJ,"parenting, fMRI, child psychology",145,George Mason University
Einav Hart,https://scholar.google.com//citations?hl=en&user=NXPXATUAAAAJ,"Negotiation, Trust, Conversation, Decision-making, Organizational behavior",144,"Assistant Professor of Management, George Mason University"
Carolina Tecuatl,https://scholar.google.com//citations?hl=en&user=CzxWfgoAAAAJ,Neuroscience,144,George Mason University
Anton Lukyanenko,https://scholar.google.com//citations?hl=en&user=pGOOAvYAAAAJ,,143,George Mason University
Hansoo Ko,https://scholar.google.com//citations?hl=en&user=ejNrxBAAAAAJ,"Health policy, Health services research, Health economics",143,George Mason University
Sammie Powers,https://scholar.google.com//citations?hl=en&user=k9EKe7cAAAAJ,"Park and Recreation Management, Outdoor Recreation, Equity, Environmental Justice, Engagement and Stewardship",143,"Assistant Professor, Recreation Management, George Mason University"
Jodi Duke,https://scholar.google.com//citations?hl=en&user=kBUxVbAAAAAJ,"Autism Spectrum Disorders, Special Education",142,George Mason University
Clayton Alex Baker,https://scholar.google.com//citations?hl=en&user=8sY8wz8AAAAJ,,142,George Mason University
Mehdi Farrokhrooz,https://scholar.google.com//citations?hl=en&user=JDoY-sMAAAAJ,"Underwater Acoustics, Signal Processing, Artificial Intelligence, Communication",141,George Mason University
MJ Esfandiari,https://scholar.google.com//citations?hl=en&user=j69WG8sAAAAJ,"Machine Learning, Optimization of structures, Progressive Collapse of Structures, Structural mechanics, Structural analysis and",141,George Mason University (GMU)
Nic Badullovich,https://scholar.google.com//citations?hl=en&user=B_fwDisAAAAJ,"social science, science communication, climate change communication, climate change",141,"George Mason University, Postdoctoral Research Fellow"
Juozas Gaigalas,https://scholar.google.com//citations?hl=en&user=KSOhnQYAAAAJ,"climate science, earth system science, cyberinfrastructure, metadata",141,"PhD Student, George Mason University"
Susan Dass,https://scholar.google.com//citations?hl=en&user=NY8KxfkAAAAJ,"virtual worlds, instructional design, immersive learning, self-regulation",140,George Mason University
Yulia Krylova,https://scholar.google.com//citations?hl=en&user=k7jcO_gAAAAJ,"International development, governance, gender inequality, and entrepreneurship",140,George Mason University
Jonathan Vasquez,https://scholar.google.com//citations?hl=en&user=s6_KKiMAAAAJ,"algorithmic fairness, machine learning, data mining, educational data mining",138,"George Mason University, PhD Student"
Andrea Cobb,https://scholar.google.com//citations?hl=en&user=adGAhHcAAAAJ,"gene regulation, reproductive hormones",137,"Director of Student Research, College of Science, George Mason University"
Alyssa M. Izquierdo,https://scholar.google.com//citations?hl=en&user=idKdaqcAAAAJ,,136,George Mason University
Ravi Doddasomayajula,https://scholar.google.com//citations?hl=en&user=x48r0ZcAAAAJ,"Cardiovascular Engineering, Cerebral Aneurysms, Computational Fluid Dynamics, Biostatistics",135,George Mason University
Koren W. Wong-Ervin,https://scholar.google.com//citations?hl=en&user=Jp2rcygAAAAJ,"Antitrust, Intellectual Property",135,"Global Antitrust Institute, Scalia Law School, George Mason University"
Erik Goepner,https://scholar.google.com//citations?hl=en&user=4tIQr3MAAAAJ,,134,George Mason University
Jordan Lofthouse,https://scholar.google.com//citations?hl=en&user=n6TabfwAAAAJ,"Austrian Economics, Public Choice Economics, Economic Sociology, Institutional Economics",134,George Mason University
Mariano Remírez,https://scholar.google.com//citations?hl=en&user=cBZ3wkYAAAAJ,Geología - Geoquímica - Sedimentología,134,"Atmospheric, Oceanic and Earth Sciences Department - George Mason University"
Kevin Lybarger,https://scholar.google.com//citations?hl=en&user=vUJmY_IAAAAJ,"machine learning, natural language processing, information extraction, clinical informatics",134,George Mason University
Hui Zheng,https://scholar.google.com//citations?hl=en&user=5DQ7jkwAAAAJ,"Human-Computer Interaction, Accessibility, Ubiquitous Computing, Wearable Computing",133,George Mason University
"Habib Karbasian, PhD",https://scholar.google.com//citations?hl=en&user=ib4j0HgAAAAJ,"Artificial Intelligence, Data Mining, Social Network, Machine Learning",132,"Computer Science & Information Technology, George Mason University"
Lindsay Hughes,https://scholar.google.com//citations?hl=en&user=vL9mspQAAAAJ,"HIV/AIDS, behavioral science, stigma, gender, program quality",132,George Mason University
Tahani Almanie,https://scholar.google.com//citations?hl=en&user=NORy8yEAAAAJ,"Data Mining, Social Media Mining, Sentiment Analysis, Edutainment Applications",132,"Department of Computer Science, George Mason University"
Biao Xie,https://scholar.google.com//citations?hl=en&user=kzcRcMgAAAAJ,"Human-Computer Interaction, Virtual Reality",132,George Mason University
Kamyar Mohajerani,https://scholar.google.com//citations?hl=en&user=6CJBIcQAAAAJ,"FPGA and ASIC Hardware Design, Hardware Accelerators, Electronic Design Automation, System-on-Chip, Cryptography",132,George Mason University
Pramita Bagchi,https://scholar.google.com//citations?hl=en&user=5PYa_jMAAAAJ,"Statistics, Time Series, Spatio-temporal data",132,George Mason University
Ketian Zhang,https://scholar.google.com//citations?hl=en&user=uB24Cv4AAAAJ,Chinese foreign policy,131,George Mason University
Fang-Yi Yu,https://scholar.google.com//citations?hl=en&user=LhLBzWEAAAAJ,,130,George Mason University
André de Souza de Lima,https://scholar.google.com//citations?hl=en&user=qRtHFRkAAAAJ,"Integrated Coastal Management, Ecosystem services, GIS, Coastal Hazards, Numerical Modeling",130,George Mason University
Ding Zhang,https://scholar.google.com//citations?hl=en&user=fVsKQOAAAAAJ,"Wireless networking, Wireless sensing, Mobile computing",130,"Ph.D. student, Computer Science Department, George Mason University"
Jingyuan Zhang,https://scholar.google.com//citations?hl=en&user=vPQN1BMAAAAJ,"Distributed Systems, Cloud Computing",130,George Mason University
Rachelle Holmes Perkins,https://scholar.google.com//citations?hl=en&user=yB7np-oAAAAJ,Tax,130,George Mason University Scalia Law School
Sharmin Sultana,https://scholar.google.com//citations?hl=en&user=oXtwiM0AAAAJ,"Image Processing, Computer Vision, Artificial Intelligence, Medical Image Analysis",128,"Assistant Professor, George Mason University"
Ningshi Yao,https://scholar.google.com//citations?hl=en&user=uwTdsxEAAAAJ,"Scheduling and Control, Cyber Physical System, Human Robot Interaction, Bio-inspired Robotics",126,"Assistant Professor, George Mason University"
Siona Listokin,https://scholar.google.com//citations?hl=en&user=oy0r7o4AAAAJ,,125,George Mason University School of Public Policy
Seth Baxter Hunter,https://scholar.google.com//citations?hl=en&user=q3SNSBsAAAAJ,"teacher evaluation, teacher leadership, policies and practices of educator evaluation",125,"Assistant Professor of Education Leadership, George Mason University"
Mohammad Shams,https://scholar.google.com//citations?hl=en&user=uONJwHUAAAAJ,"Data and Signal Processing, Machine Learning, EEG-fMRI, Neural Networks",124,George Mason University
Hung-Ling (Stella) Liu,https://scholar.google.com//citations?hl=en&user=8H1rTD4AAAAJ,"Nature-based recreation and tourism, human-dimension of natural resource …, leisure behavior",123,George Mason University
Bobby Azarian,https://scholar.google.com//citations?hl=en&user=sRn2Hj0AAAAJ,"complexity, cognition, consciousness, cosmic evolution",123,George Mason University
